Tile_no,Cage treatment,Treatment,Tile_arrangement,Bommie_treat,Block,change_biomass
128,Cage,Complex,Complex,Turbinaria,5,35.4452325
129,Control,Simple,Control,Control,5,4.6464135
130,Control,Simple,Control,Control,2,3.556452
131,Control,Simple,Control,Control,4,4.1623785
132,Control,Simple,Control,Control,3,1.5696175
133,Control,Simple,Control,Control,4,4.0768565
134,Control,Simple,Control,Control,5,6.591564
135,Control,Simple,Control,Control,2,5.2563205
136,Control,Simple,Control,Control,3,3.598748
137,Control,Complex,Control,Control,5,13.073139
138,Control,Complex,Control,Control,2,10.089104
139,Control,Complex,Control,Control,4,11.012308
140,Control,Complex,Control,Control,5,10.947726
141,Control,Complex,Control,Control,4,22.172264
142,Control,Complex,Control,Control,2,12.093981
143,Control,Complex,Control,Control,3,8.953784
144,Control,Complex,Control,Control,3,10.530941
